title,author,rating,reviews,price,year,fiction flag
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,14580,21.99,2017,FALSE
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,12430,21.91,2013,FALSE
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,9400,24.93,2012,FALSE
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,10165,15.95,2012,FALSE
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,10165,15.95,2011,FALSE
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,6019,1.17,2015,FALSE
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,9856,0.35,2016,FALSE
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,4734,1.98,2018,TRUE
Knock-Knock Jokes for Kids,Rob Elliott,4.5,5155,2.86,2015,FALSE
Knock-Knock Jokes for Kids,Rob Elliott,4.5,5155,2.86,2013,FALSE
Knock-Knock Jokes for Kids,Rob Elliott,4.5,5155,2.86,2014,FALSE
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children・・s Book)",Jill Twiss,4.9,14314,0.94,2018,TRUE
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,9469,4.24,2014,FALSE
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,9469,4.24,2015,FALSE
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,9469,4.24,2016,FALSE
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,9469,4.24,2017,FALSE
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,9469,4.24,2013,FALSE
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,7314,10.83,2013,FALSE
Leonardo da Vinci,Walter Isaacson,4.5,4819,3.48,2017,FALSE
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.5,16571,6.99,2018,FALSE
Life,Keith Richards,4.6,3752,12.86,2010,FALSE
Little Bee,Chris Cleave,4.2,1679,0.25,2010,TRUE
Little Blue Truck,Alice Schertle,4.9,1935,0.35,2014,TRUE
Little Fires Everywhere,Celeste Ng,4.5,49229,1.55,2018,TRUE
Little Fires Everywhere: A Novel,Celeste Ng,4.5,49229,10.2,2020,TRUE
Live Free Or Die: America (and the World) on the Brink,Sean Hannity,4.8,22276,14.7,2020,FALSE
Looking for Alaska,John Green,4.6,1697194,0.35,2014,TRUE
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.3,1982,14.97,2011,FALSE
Love You Forever,Robert Munsch,4.9,38081,0.25,2015,FALSE
Love You Forever,Robert Munsch,4.9,38081,0.25,2014,FALSE
Magnolia Table,Joanna Gaines,4.8,24969,6.14,2018,FALSE
"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",Joanna Gaines,4.9,20632,16.5,2020,FALSE
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.6,1873,16.42,2014,FALSE
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,20748,3.05,2017,FALSE
Midnight Sun,Stephenie Meyer,4.8,73269,13.31,2020,TRUE
Milk and Honey,Rupi Kaur,4.7,34561,7.38,2018,FALSE
Milk and Honey,Rupi Kaur,4.7,34561,7.38,2017,FALSE
Milk and Honey,Rupi Kaur,4.7,34561,7.38,2016,FALSE
